Tweet,Text,Match,Polarity
40,"['rt', 'quatoria', 'things', 'temporarily', 'inconvenient', 'us', 'consider', 'save', 'lives', 'end', 'indoor', 'dining', 'shutdown', 'busine']",,neutral
41,"['rt', 'sarahcohodes', 'ugh', 'ugh', 'ugh', 'individuals', 'cannot', 'solve', 'systemic', 'problems', 'systemic', 'problems', 'need', 'systemic', 'say', 'g']","ugh,problems",negative
42,"['charleszagara', 'petesmith', 'add', 'local', 'government', 'enforce', 'governor', 'mandates', 'social', 'distanc']",,neutral
43,"['rt', 'juancpedreira', 'restaurants', 'gyms', 'crowded', 'indoor', 'venues', 'likely', 'accounted', 'eight', 'new', 'infections', 'early', 'mont']","crowded,infections",negative
44,"['rt', 'wibwmarleah', 'washburn', 'new', 'million', 'indoor', 'athletic', 'facility', 'officially', 'open', 'business', 'wusports', 'gobods']",,neutral
45,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
46,"['rak', 'asymmetricinfo', 'michaelbd', 'aaronsibarium', 'arischulman', 'katewerk', 'read', 'posts', 'damnit', 'stop', 'another']",,neutral
47,"['rt', 'darrensproat', 'advised', 'limit', 'social', 'gatherings', 'wear', 'goddamned', 'mask', 'unable', 'maintain', 'distanci']","limit,unable",negative
48,"['app', 'supports', 'new', 'feature', 'called', 'look', 'around', 'allows', 'degree', 'view', 'places', 'detailed', 'indoor']",supports,positive
49,"['hate', 'de', 'blasio', 'cuomo', 'cause', 'let', 'real', 'first', 'thing', 'closed', 'nyc', 'indoor', 'dining', 'w']",hate,negative
50,"['gavinnewsom', 'gavinnewsom', 'hey', 'wondering', 'oc', 'allowed', 'gyms', 'open', 'indoor', 'exercise', 'thanks']",,neutral
51,"['onthisday', 'prior', 'start', 'nd', 'fifa', 'five', 'side', 'wc', 'usfnt', 'defeated', 'hosts', 'hong', 'kong']",defeated,positive
52,"['mocomdresident', 'mocorec', 'andrew', 'friedson', 'germantown', 'indoor', 'swim', 'center', 'square', 'feet', 'decid']",,neutral
53,"['spread', 'schools', 'things', 'shut']",,neutral
54,"['rt', 'coreykilgannon', 'restaurants', 'gyms', 'cafes', 'crowded', 'indoor', 'venues', 'likely', 'accounted', 'eight', 'new', 'infections', 'ea']","crowded,infections",negative
55,"['rt', 'milesplitny', 'indoor', 'track', 'go', 'section']",,neutral
56,"['rt', 'ericliptonnyt', 'across', 'much', 'europe', 'even', 'coronavirus', 'cases', 'rise', 'anew', 'governments', 'keeping', 'classrooms', 'open', 'forcing', 'restau']",,neutral
57,"['rt', 'uchicagomed', 'wearing', 'masks', 'avoiding', 'indoor', 'gatherings', 'among', 'recommendations', 'illinois', 'medical', 'professionals', 'action', 'coll']",recommendations,positive
58,"['indoor', 'grow', 'plant', 'lights', 'use', 'promocode', 'fftc', 'nm', 'deal', 'ganga']",,neutral
59,"['jimmyandkelley', 'great', 'relieved', 'yes', 'name', 'tags', 'important', 'especially', 'indoor', 'c']","great,important",positive
60,"['indoor', 'grow', 'plant', 'lights', 'use', 'promo', 'code', 'fftc', 'nm']",,neutral
61,"['indoor', 'physical', 'activities', 'keep', 'kids', 'energy', 'via', 'fairfaxtimes']",,neutral
62,"['rt', 'elizashapiro', 'want', 'people', 'think', 'indoor', 'dining', 'gyms', 'magical', 'solution', 'problems', 'bdb', 'says']","magical,problems",neutral
63,"['rt', 'bestboyjay', 'imagine', 'enhypen', 'lightstick', 'concerts', 'indoor', 'events']",,neutral
64,"['rt', 'hgg', 'buy', 'full', 'spectrum', 'led', 'grow', 'lights', 'use', 'code', 'receive', 'discount', 'purchas']",led,positive
65,"['lovethepuck', 'see', 'texas', 'one', 'million', 'infected', 'opening', 'whole', 'indoor', 'waterpark']",infected,negative
66,"['lpj', 'abc', 'shut', 'next', 'week', 'justify', 'indoor', 'maskless', 'players', 'basketball']",,neutral
67,"['rt', 'milesperhoward', 'banning', 'outdoor', 'social', 'gatherings', 'sustaining', 'indoor', 'dining']",,neutral
68,"['dougisfunnie', 'need', 'indoor', 'wheels']",,neutral
69,"['harveywaldon', 'loghound', 'thehill', 'worries', 'issues', 'people', 'wear', 'seatbelt', 'required']","worries,issues",negative
70,"['pershore', 'seafoods', 'joins', 'stroud', 'new', 'indoor', 'market']",,neutral
71,"['rt', 'kylegunderson', 'people', 'saskatoon', 'regina', 'prince', 'albert', 'required', 'wear', 'non', 'medical', 'masks', 'indoor', 'public', 'spaces', 'firs']",,neutral
72,"['church', 'sent', 'email', 'sunday', 'services', 'canceled', 'email', 'stated', 'overwhelming', 'amount']",overwhelming,negative
73,"['rt', 'janetbrown', 'several', 'callers', 'mikesmythnews', 'show', 'cknw', 'asking', 'health', 'minister', 'adriandix', 'mandate', 'masks', 'says']",,neutral
74,"['schraderswag', 'family', 'comfortable', 'send', 'airplanes', 'hepa', 'filters', 'actually', 'make']",comfortable,positive
75,"['trevorbennet', 'yeah', 'non', 'linear', 'bad', 'decisions', 'indoor', 'social', 'gatherings', 'mask', 'ed', 'trips', 'g']",bad,negative
76,"['ameseh', 'jessicsm', 'yeah', 'seeing', 'indoor', 'big', 'risk', 'states', 'warmer', 'climates', 'could', 'really']","risk,warmer",neutral
77,"['rt', 'raybake', 'soozlemcdoozle', 'iagovernor', 'holding', 'indoor', 'press', 'conferences', 'standing', 'podium', 'spewing', 'virus', 'every', 'reporter']","spewing,virus",negative
78,"['going', 'close', 'schools', 'indoor', 'dining', 'come']",,neutral
79,"['rt', 'beth', 'levy', 'indoor', 'dining', 'full', 'stop', 'fully', 'tented', 'patio', 'mean', 'outside', 'lack', 'better', 'way', 'say']","lack,better",neutral
80,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
81,"['shutting', 'schools', 'indoor', 'dining', 'sure', 'fixes', 'anything']",,neutral
82,"['rt', 'rocktowndistill', 'bottle', 'rock', 'town', 'perfect', 'addition', 'picnic', 'indoor', 'outdoor', 'ashleyofarkansas']",perfect,positive
83,"['asked', 'followed', 'many', 'asked', 'province', 'wide', 'mandatory', 'mask', 'shahab', 'says', 'clear']",clear,positive
84,"['rt', 'texasdshs', 'making', 'holiday', 'plans', 'please', 'know', 'covid', 'spread', 'easily', 'indoor', 'gatherings', 'safest', 'way', 'celebrate', 'virtua']",celebrate,positive
85,"['rt', 'armstrongceilng', 'asked', 'architects', 'designers', 'role', 'indoor', 'air', 'quality', 'post', 'pandemic', 'world', 'told']",,neutral
86,"['apartment', 'complex', 'indoor', 'meeting', 'discuss', 'safely', 'celebrate', 'holidays', 'time', 'corona']","complex,safely,celebrate",positive
87,"['dahvnyc', 'christian', 'minister', 'man', 'north', 'carolina', 'refused', 'reconsider', 'indoor', 'services']",refused,negative
88,"['one', 'marketing', 'package', 'tradeshows', 'tradeshow', 'tradefair', 'outdoor', 'indoor', 'marketingstrategy']",,neutral
89,"['rt', 'peterlbrandt', 'totally', 'support', 'mandatory', 'masks', 'social', 'distancing', 'avoiding', 'indoor', 'crowds', 'let', 'common', 'sense', 'hysteria', 'preva']","support,hysteria",neutral
90,"['rt', 'mascacsports', 'update', 'mascac', 'winter', 'sports', 'season', 'includes', 'men', 'women', 'basketball', 'men', 'ice', 'hockey']",,neutral
91,"['urged', 'set', 'global', 'guidelines', 'indoor', 'humidity', 'curb', 'covid', 'kids', 'swimmin']",,neutral
92,"['indoor', 'maps', 'best', 'maps', 'change', 'mind']",best,positive
93,"['rt', 'barrelhousez', 'happy', 'friday', 'plenty', 'safe', 'social', 'distanced', 'indoor', 'seating', 'back', 'annex', 'lots', 'fresh', 'beer', 'bluerib']","happy,safe,fresh",positive
94,"['indoor', 'warm', 'leather', 'slippers', 'instagramdown', 'instagram', 'online', 'onlineshopping']",warm,positive
95,"['compassion', 'kids', 'includes', 'keeping', 'safe', 'amp', 'healthy', 'virus', 'aerosol', 'spread', 'means', 'indoor', 'sports', 'pose', 'different']","compassion,safe,healthy,virus",positive
96,"['peculiarbaptist', 'fascinating', 'things', 'people', 'want', 'lift', 'limits', 'especially', 'theme', 'parks']","fascinating,limits",neutral
97,"['understand', 'closings', 'baltimore', 'county', 'help', 'things', 'see', 'leaving', 'bars']",,neutral
98,"['rt', 'samjgrasso', 'simply', 'take', 'america', 'biggest', 'indoor', 'waterpark', 'push', 'somewhere', 'else']",,neutral
99,"['rt', 'ericklinenberg', 'study', 'crises', 'including', 'coronaviruspandemic', 'help', 'us', 'see', 'value', 'stunn']",,neutral
100,"['nurse', 'palmer', 'meowitsjoey', 'janefallon', 'rickygervais', 'drama', 'queen', 'cat', 'times', 'cats', 'indoor', 'cat']",,neutral
101,"['rt', 'dougpyle', 'forward', 'another', 'great', 'weekend', 'uncommitted', 'uncommittedbsb', 'buncommitted', 'uncommittedusa', 'draftprospectus', 'b']",great,positive
102,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
103,"['canteach', 'silencer', 'yes', 'great', 'invention', 'technology', 'indoor', 'heating']",great,positive
104,"['cathasach', 'bikes', 'elizabadams', 'jumaanewilliams', 'private', 'residences', 'indoor', 'outdoor']",,neutral
105,"['rt', 'coolfunnytshirt', 'ashutosh', 'lodu', 'favorite', 'indoor', 'game', 'lodu', 'champion']","favorite,champion",positive
106,"['davidbweinstein', 'completely', 'agree', 'masks', 'social', 'distancing', 'hand', 'sanitation', 'avoiding', 'crowded', 'indoor', 'spaces', 'commo']",crowded,negative
107,"['indoor', 'recess', 'cherished', 'time']",cherished,positive
108,"['rt', 'missbehavior', 'big', 'kenney', 'announcement', 'new', 'covid', 'restrictions', 'ab', 'next', 'weeks', 'indoor', 'badminton', 'done', 'yo']",,neutral
109,"['god', 'willing', 'gats', 'turnup', 'back', 'back', 'indoor', 'year', 'got', 'busy', 'december']",willing,positive
110,"['mitsubishi', 'electric', 'mext', 'dx', 'system', 'provides', 'high', 'sensible', 'cooling', 'close', 'control', 'temperature', 'humidity']",sensible,positive
111,"['happy', 'friday', 'plenty', 'safe', 'social', 'distanced', 'indoor', 'seating', 'back', 'annex', 'lots', 'fresh', 'beer']","happy,safe,fresh",positive
112,"['rt', 'rachel', 'reyes', 'places', 'spreading', 'virus', 'indoor', 'shops', 'amp', 'restos', 'majority', 'workers', 'min', 'wage', 'precarious', 'workers']","virus,precarious",negative
113,"['rt', 'caseypurnell', 'profkarolsikora', 'indoor', 'sports', 'swimming', 'proven', 'safe', 'competitive', 'swimmers', 'lost', 'least', 'months', 'fitness']","proven,safe,competitive,lost",positive
114,"['rt', 'milesperhoward', 'infuriating', 'baker', 'doubling', 'responsibility', 'rhetoric', 'advances', 'idea']","infuriating,rhetoric",negative
115,"['drtomfrieden', 'joebiden', 'approach', 'substantially', 'different', 'expecting', 'nationwi']",,neutral
116,"['rt', 'jbarro', 'seriously', 'care', 'borelli', 'messaging', 'think', 'state', 'ought', 'close', 'indoor', 'dining', 'wants', 'ha']",,neutral
117,"['girlonahippo', 'nope', 'seeing', 'family', 'summer', 'kinds', 'things', 'let', 'booge']",,neutral
118,"['milltownmafia', 'journalsentinel', 'close', 'outdoors', 'wearing', 'masks', 'people', 'tried', 'explain', 'th']",,neutral
119,"['rt', 'elizashapiro', 'new', 'york', 'may', 'soon', 'closed', 'school', 'system', 'open', 'indoor', 'dining', 'rooms', 'educating', 'children', 'plainly', 'essential']",,neutral
120,"['actually', 'played', 'outlast', 'demo', 'ps', 'game', 'came', 'guess', 'one', 'bit', 'less', 'scary', 'still']",scary,negative
121,"['want', 'big', 'ass', 'house', 'indoor', 'pool', 'full', 'dollar', 'bills', 'immortality', 'god', 'hope', 'ari', 'lying']",lying,negative
122,"['simply', 'take', 'america', 'biggest', 'indoor', 'waterpark', 'push', 'somewhere', 'else']",,neutral
123,"['kc', 'health', 'director', 'joint', 'statement', 'recommends', 'bars', 'amp', 'restaurants', 'close', 'implement', 'greater', 'requir']",,neutral
124,"['cmentmixer', 'beezer', 'trvrb', 'gisaid', 'difference', 'many', 'really', 'worried', 'cov']",worried,negative
125,"['davidbegnaud', 'danicacoto', 'yet', 'closes', 'places', 'little', 'risk', 'contagion', 'lets', 'indoor', 'restaura']",risk,negative
126,"['rt', 'erlesen', 'researchers', 'find', 'connection', 'household', 'chemicals', 'gut', 'microbiome', 'exposures', 'semivolatile']",,neutral
127,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
128,"['several', 'callers', 'mikesmythnews', 'show', 'cknw', 'asking', 'health', 'minister', 'adriandix', 'mandate', 'masks', 'says']",,neutral
129,"['nycmayor', 'close', 'indoor', 'dining', 'keep', 'schools', 'open', 'infection', 'rate', 'schools', 'magnitudes', 'lower', 'rest', 'city']",infection,negative
130,"['parents', 'athletes', 'despite', 'section', 'winter', 'sports', 'start', 'date', 'pushed', 'back', 'december', 'th', 'still']",,neutral
131,"['rt', 'osstf', 'expert', 'says', 'improve', 'indoor', 'air', 'quality', 'schools', 'whether', 'covid', 'transmission', 'reduction', 'g']",improve,positive
132,"['rt', 'joeborellinyc', 'right', 'oft', 'bloviating', 'comptroller', 'candidate', 'bradlander', 'criticized', 'hosting', 'family', 'thanksgiving']","right,criticized",neutral
133,"['chubabubba', 'need', 'take', 'action', 'based', 'science', 'point', 'compliance', 'masks', 'distancing', 'washing', 'han']",,neutral
134,"['erna', 'solberg', 'really', 'disappointed', 'today', 'press', 'conference', 'least', 'mask', 'mandate', 'public']",disappointed,negative
135,"['indoor', 'track', 'go', 'section']",,neutral
136,"['rt', 'jasonfurman', 'suboptimally', 'undertweet', 'obvious', 'extremely', 'important', 'like', 'clo']","important,like",positive
137,"['finnaboo', 'koi', 'indoor', 'cat', 'luvs', 'belly', 'pets', 'drinking', 'sink']",sink,negative
138,"['rt', 'amandamull', 'gov', 'bail', 'cancel', 'rent', 'lie', 'people', 'indoor', 'dining', 'perfectly', 'safe']","lie,perfectly,safe",positive
139,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
140,"['think', 'flies', 'want', 'house', 'got', 'month', 'live', 'bro', 'give', 'fuck', 'ur', 'indoor', 'plumbing']",fuck,negative
141,"['suffer', 'seasonal', 'allergies', 'respiratory', 'ailments', 'consider', 'home', 'indoor', 'air', 'quality']","suffer,allergies",negative
142,"['geerlingguy', 'think', 'way', 'works', 'model', 'r', 'absolute', 'base']",works,positive
143,"['taking', 'advantage', 'indoor', 'outdoor', 'life', 'jamescoanearchitect', 'architecture', 'interiordesign', 'luxuryhome']",advantage,positive
144,"['dorriolds', 'first', 'step', 'numbers', 'rose', 'indoor', 'dining', 'worst', 'covid', 'spreader', 'either', 'public', 'private']",worst,negative
145,"['josheldredge', 'nope', 'wear', 'mask', 'gather', 'tight', 'indoor', 'areas', 'like', 'bars', 'get', 'vaccine', 'soon']",like,positive
146,"['licensed', 'oklahoma', 'dispos', 'processors', 'wholesalers', 'hmu', 'pounds', 'key', 'lime', 'pie', 'chemdawg', 'blueberry']",,neutral
147,"['lizzzz', 'ryeguy', 'nygovcuomo', 'frustrating', 'data', 'pointing', 'toward', 'indoor', 'small', 'gatherings', 'p']",frustrating,negative
148,"['rt', 'nycmayor', 'certain', 'parts', 'staten', 'island', 'yellow', 'zone', 'know', 'focused', 'approaches', 'work', 'mandatory', 'covid', 'testing']",work,positive
149,"['set', 'fat', 'timing', 'system', 'yard', 'line', 'next', 'usatf', 'indoor', 'champs', 'final']",fat,negative
150,"['reacting', 'murphy', 'ban', 'indoor', 'dining', 'p', 'atlantic', 'city', 'top', 'casino', 'lays', 'cuts', 'hours', 'w']",top,positive
151,"['americannumbers', 'wi', 'governor', 'deployed', 'field', 'hospital', 'happened', 'time', 'tavern', 'league', 'wen']",,neutral
152,"['rt', 'ahiddycbc', 'shahab', 'says', 'indoor', 'sports', 'participation', 'changes', 'could', 'come', 'next', 'week', 'asks', 'people', 'limit', 'sports', 'socialize']",limit,negative
153,"['rt', 'nrnonline', 'indoor', 'dining', 'major', 'cause', 'covid', 'events', 'stanford', 'led', 'study', 'suggests', 'joan']",led,positive
154,"['rt', 'jorgeyxx', 'think', 'indoor', 'bars', 'restaurants', 'closed', 'good', 'months', 'fuck', 'pm']","good,fuck",neutral
155,"['go', 'indoor', 'gym', 'dine', 'indoors', 'restaurant', 'higher', 'risk', 'lots', 'special', 'interest', 'pressure']",risk,negative
156,"['find', 'humidifier', 'combat', 'indoor', 'air', 'pollution', 'via', 'groovygreenlivi']",,neutral
157,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
158,"['tanya', 'mechelle', 'haha', 'indoor', 'like', 'months', 'cause', 'rain', 'water', 'outside', 'imagine', 'chaos', 'insi']","like,chaos",neutral
159,"['govmurphy', 'newjerseydoe', 'new', 'er', 'hey', 'phil', 'let', 'us', 'know', 'shut', 'fucking', 'schools', 'indoor', 'dining', 'gy']",fucking,negative
160,"['things', 'temporarily', 'inconvenient', 'us', 'consider', 'save', 'lives', 'end', 'indoor', 'dining', 'shutdown']",,neutral
161,"['rt', 'kycovid', 'data', 'rub', 'wrong', 'way', 'government', 'closes', 'indoor', 'dining', 'asks', 'tip', 'generously']","wrong,generously",neutral
162,"['bradlander', 'nycschools', 'followcsa', 'brad', 'lander', 'enemy', 'people']",enemy,negative
163,"['rt', 'olpro', 'else', 'great', 'garden', 'indoor', 'outdoor', 'camp', 'st', 'nd', 'nov', 'helping', 'others', 'enjoy', 'lockdown', 'adventu']","great,helping,enjoy",positive
164,"['going', 'long', 'winter', 'without', 'indoor', 'track', 'work', 'hard', 'time', 'recruit', 'new', 'peop']","work,hard",neutral
165,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
166,"['nzim', 'chrissruppelt', 'frankamari', 'realdonaldtrump', 'biden', 'encourage', 'big', 'indoor', 'rallies', 'thousands', 'un']",encourage,positive
167,"['rt', 'briggswarrensf', 'university', 'south', 'dakota', 'requires', 'face', 'coverings', 'public', 'indoor', 'spaces', 'campus', 'fall', 'academic']",fall,negative
168,"['rt', 'calgarystampede', 'tickets', 'noelfestival', 'yet', 'details', 'safety', 'information', 'click']",,neutral
169,"['definitely', 'close', 'indoor', 'dining', 'god', 'forbid']",forbid,negative
170,"['rt', 'unrollhelper', 'dawnroseturner', 'bonjour', 'unroll', 'smillssk', 'sk', 'covid', 'update', 'new', 'restrictions', 'expansion', 'mandatory']",,neutral
171,"['excited', 'announce', 'end', 'semester', 'smash', 'indoors', 'louisville', 'indoor', 'racq']","excited,smash",neutral
172,"['mini', 'drone', 'kids', 'hand', 'operated', 'flying', 'toy', 'rotating', 'led', 'light', 'easy', 'indoor', 'outdoor', 'hand', 'controlled']","led,easy",positive
173,"['nathanfletcher', 'el', 'cajon', 'high', 'density', 'housing', 'many', 'people', 'living', 'close', 'quarters', 'much', 'spread']",,neutral
174,"['establishment', 'new', 'york', 'liquor', 'license', 'notably', 'bars', 'restaurants', 'must', 'close', 'indoor', 'operati']",notably,positive
175,"['backstop', 'indoor', 'going', 'background', 'bucks', 'beautiful', 'pasture', 'beabuck']",beautiful,positive
176,['false'],false,negative
177,"['need', 'guys', 'want', 'date', 'indoor', 'skydiving', 'zoo', 'aquarium', 'shopping', 'food', 'drinks', 'car', 'drives', 'shopping', 'go', 'kart']",,neutral
178,"['bradlander', 'nycschools', 'followcsa', 'brad', 'lander', 'wants', 'one', 'set', 'rules', 'people', 'different', 'set', 'ru']",,neutral
179,"['shahab', 'wants', 'ways', 'one', 'hand', 'says', 'clear', 'mandatory', 'mask', 'order', 'recommends', 'wear', 'one']",clear,positive
180,"['absurd', 'county', 'led', 'data', 'science', 'simple', 'math']","absurd,led",neutral
181,"['mid', 'distance', 'u', 'lake', 'indiana', 'unitedpursuit']",,neutral
182,"['rt', 'defis', 'eu', 'dyk', 'euspace', 'galileo', 'signals', 'used', 'conjunction', 'networks', 'g', 'example', 'prov']",,neutral
183,"['rt', 'saskiapopescu', 'large', 'gatherings', 'high', 'risk', 'simple', 'truth', 'told', 'indoor', 'gatherings', 'outside', 'household']",risk,negative
184,"['take', 'note', 'bruxerhockey']",,neutral
185,"['rt', 'llinwood', 'andrew', 'cuomo', 'way', 'new', 'york', 'citizens', 'going', 'treated', 'like', 'citizens', 'communist', 'china', 'fightback']",like,positive
186,"['current', 'indoor', 'temperature', 'humidity', 'temperature', 'forestville', 'current', 'time']",,neutral
187,"['rt', 'shikhajainmd', 'proud', 'amazing', 'impact', 'hc', 'team', 'use', 'science', 'facts', 'educate', 'communities', 'advocate', 'safe', 'practices']","proud,amazing,advocate,safe",positive
188,"['themastervoid', 'indoor', 'outdoor', 'cat', 'another', 'way', 'say', 'outdoor', 'cat', 'stance', 'applies', 'bc', 'theyre', 'pr']",,neutral
189,"['rt', 'parklandcounty', 'temporary', 'mandatory', 'face', 'coverings', 'bylaw', 'effect', 'mandatory', 'wear', 'face', 'covering', 'mask', 'times']",,neutral
190,"['nycmayor', 'joyannreid', 'close', 'valve', 'close', 'indoor', 'dining', 'gyms', 'schools', 'till', 'jan']",,neutral
191,"['government', 'okay', 'idiots', 'socially', 'distance', 'wear', 'masks', 'stay', 'household', 'soci']",idiots,negative
192,"['signals', 'sends', 'confusing', 'people', 'likely', 'tune', 'especially', 'know', 'outdoor', 'walk']",confusing,negative
193,"['missnoraz', 'nygovcuomo', 'nytimes', 'nycmayor', 'community', 'demanding', 'indoor', 'dining', 'closed']",,neutral
194,"['nycmayor', 'keep', 'elementary', 'schools', 'schools', 'open', 'much', 'testing', 'shut', 'indoor', 'dining', 'thos']",,neutral
195,"['small', 'family', 'gatherings', 'responsible', 'spike', 'indoor', 'dining', 'bars', 'colleges', 'public', 'schools', 'c', 'mon']",,neutral
196,"['drone', 'tour', 'giga', 'berlin', 'first', 'heavy', 'machines', 'installed', 'sense', 'already', 'commissioning', 'production', 'li']",,neutral
197,"['yar', 'desi', 'families', 'itny', 'tou', 'first', 'cousins', 'unky', 'bachy', 'hojaty', 'hain', 'limit', 'increased']",limit,negative
